from,to
angkatlah,angkat
anjink,anjing
njir,anjing
diantisioasi,antisipasi
antusiasnya,antusias
apalah,apa
arahnya,arah
argumen,argumen
argument,argumen
artian,arti
artinay,arti
asyiknya,asik
atasannya,atas
diatasnya,atas
ayolah,ayo
bacalah,baca
mbaca,baca
membaca,baca
mmbaca,baca
badannya,badan
giman,bagaimana
gimanapun,bagaimana
gmana,bagaimana
baguslah,bagus
baguus,bagus
berbahasa,bahasa
bhwa,bahwa
baiknya,baik
membalasx,balas
banggakan,bangga
membangga,bangga
bagunlah,bangun
membantu,bantu
kebanyakan,banyak
bany,banyak
banyakin,banyak
dibanyakin,banyak
bapaknya,bapak
bokapnya,bapak
barunyg,baru yang
batasa,batas
batasi,batas
batunya,batu
batubaranya,batubara
gowo,bawa
dibawabawa,bawa
membawa,bawa
ngisor,bawah
membayangkan,bayang
mmbayangkan,bayang
ngebayangin,bayang
mmbayar,bayar
baigon,baygon
membebani,beban
membedakan,beda
badebah,bedebah
gini,begini
bginilah,begini
ginian,begini
giniin,begini
diblkg,belakang
membeli,beli
belio,beliau
membelok,belok
bloom,belum
sebelumny,belum
bene,benar
kbnran,benar
sebenanrnya,benar
sebenar,benar
beraninya,berani
sberapa,berapa
beratnya,berat
memberatkan,berat
berbag,berbagi
dikase,beri
memberitahu,beri tahu
ngaca,berkaca
memberkati,berkat
bareng,bersama
gedek,besar
biarin,biar
biayanya,biaya
bibirmu,bibir
bicaralah,bicara
bijaknya,bijak
bisiknya,bisik
blak,black
bodo,bodoh
dongok,bodoh
ngibul,bohon
bohongi,bohong
bohongnya,bohong
bosnya,bos
buuoseen,bosan
dibikin,buat
buday,budaya
budayakan,budaya
dibui,bui
kebuka,buka
ngebukaya,buka
buktinya,bukti
buktiin,bukti
ngebuktiin,bukti
bulatkan,bulat
dibully,bully
bungkusnya,bungkus
bosok,buruk
buruknya,buruk
terburuk,buruk
buteq,butek
butuhkan,butuh
buzzernya,buzzer
chabul,cabul
cacingan,cacing
cakephh,cakap
calonnya,calon
mncapai,capai
nyari,cari
cawapresnya,cawapres
chebong,cebong
dicheck,cek
cermelang,cemerlang
cpet,cepat
cpt7,cepat
pencerahannya,cerah
dicerdaskan,cerdas
critany,cerita
nyeritain,cerita
mncerminkan,cermin
cewe,cewek
dichina,china
coper,chooper
dicintai,cinta
citranya,citra
cucok,cocok
contohnya,contoh
mencontohkan,contoh
kecuci,cuci
keculasan,culas
penculikn,culik
kecurang,curang
nyurigai,curiga
mendahulu,dahulu
pendakwah,dakwah
dala,dalam
dalem,dalam
dlem,dalam
dampaknya,dampak
dananya,dana
danai,dana
dangkalnya,dangkal
dapatkan,dapat
dpet,dapat
mendapatka,dapat
mendapt,dapat
dapure,dapur
dasare,dasar
datanya,data
datangi,datang
kedatangannya,datang
bargainingnya,daya tawar
didebatin,debat
mendekat,dekat
deklarasikan,deklarasi
demonya,demo
degan,dengan
denga,dengan
dngan,dengan
dengerin,dengar
didengar,dengar
dngr,dengar
terdengar,dengar
kedepan,depan
dideportasi,deportasi
didesa,desa
desaign,design
dewannya,dewan
dewantary,dewan
disono,di sana
disana,di sana
diemin,diam
dikriti,dikritik
diliri,dilirik
kedinginan,dingin
diplomasinya,diplomasi
dirimubpakde,diri pakde
diaayangkan,disayangkan
discount,diskon
berdo,doa
dramanya,drama
dudukkan,duduk
mendukung,dukung
edian,edan
eduun,edan
edition,edit
efeknya,efek
efektiv,efektif
ejekan,ejek
emasnya,emas
empatiny,empati
ntah,entah
diera,era
fadlijon,fadlizon
sefanatik,fanatik
fasilitasi,fasilitas
vasilitas,fasilitas
fiksinya,fiksi
fiktip,fiksi
fokusx,fokus
follo,follow
folow,follow
difoto,foto
frustasinya,frustasi
frustrasinya,frustasi
fung,fungsi
dgadein,gadai
gagahan,gagah
genk,gank
digant,ganti
gantiin,ganti
gantikan,ganti
gantinya,ganti
garem,garam
style,gaya
gemetaran,gemetar
gemeter,gemetar
geraknya,gerak
grak,gerak
gerpmbolan,gerombolan
grombolan,gerombolan
gilanya,gila
dipergilirkan,gilir
grou,grup
grup,grup
gunanya,guna
pnggunaan,guna
kehabisan,habis
habi,habis
hdapi,hadapi
hdpi,hadapi
haknya,hak
hnya,hanya
hany,hanya
ngarep,harap
harganya,harga
hrga,harga
hargadirinya,harga diri
hrsnya,harus
kudu,harus
hasim,hashim
hasyim,hashim
hslnya,hasil
haternya,hater
hatinya,hati
hatipun,hati
hebatnya,hebat
hebaat,hebat
khendak,hendak
kehi,hidup
kehidupannya,hidup
ilang,hilang
hombre,hombreng
homosexual,homosex
honornya,honor
hormatan,hormat
hotelkamp,hotel kamp
hape,hp
hujanan,hujan
hujatan,hujat
